"","count.P"
"204320_at",85
"204321_at",85
"204327_s_at",77
"204344_s_at",85
"204352_at",84
"204356_at",85
"204387_x_at",83
"204407_at",81
"204452_s_at",85
"204541_at",85
"204621_s_at",85
"204677_at",85
"204699_s_at",78
"204705_x_at",74
"204712_at",69
"204727_at",85
"204761_at",75
"204790_at",85
"204859_s_at",84
"204883_s_at",66
"204927_at",85
"204942_s_at",85
"204977_at",85
"204989_s_at",81
"204990_s_at",85
"205004_at",85
"205079_s_at",73
"205084_at",77
"205099_s_at",85
"205145_s_at",85
"205223_at",76
"205301_s_at",85
"205428_s_at",65
"205810_s_at",85
"205823_at",85
"205938_at",85
"205949_at",85
"206019_at",73
"206174_s_at",84
"206181_at",81
"206208_at",71
"206218_at",85
"206228_at",85
"206261_at",65
"206282_at",83
"206322_at",66
"206328_at",85
"206424_at",85
"206501_x_at",66
"206506_s_at",85
"206511_s_at",85
"206718_at",74
"206973_at",79
"207075_at",83
"207104_x_at",79
"207126_x_at",66
"207147_at",68
"207185_at",70
"207208_at",85
"207215_at",79
"207237_at",64
"207275_s_at",80
"207381_at",85
"207397_s_at",74
"207450_s_at",72
"207475_at",85
"207658_s_at",73
"207703_at",85
"207704_s_at",85
"207705_s_at",85
"207707_s_at",85
"207709_at",85
"207713_s_at",64
"207716_at",85
"207717_s_at",85
"207718_x_at",85
"207721_x_at",78
"207725_at",85
"207726_at",82
"207732_s_at",85
"207737_at",66
"207738_s_at",85
"207741_x_at",83
"207742_s_at",84
"207747_s_at",85
"207748_at",83
"207749_s_at",85
"207752_x_at",66
"207753_at",84
"207754_at",85
"207758_at",85
"207759_s_at",83
"207764_s_at",70
"207782_s_at",72
"207785_s_at",85
"207786_at",85
"207787_at",85
"207788_s_at",75
"207792_at",85
"207801_s_at",85
"207804_s_at",85
"207822_at",83
"207826_s_at",68
"207832_at",85
"207835_at",80
"207839_s_at",83
"207855_s_at",74
"207856_s_at",72
"207858_s_at",85
"207870_at",75
"207872_s_at",67
"207884_at",80
"207907_at",85
"207908_at",85
"207917_at",84
"207931_s_at",78
"207935_s_at",78
"207949_s_at",81
"207956_x_at",85
"207957_s_at",64
"207968_s_at",84
"207977_s_at",85
"207978_s_at",69
"208004_at",85
"208023_at",85
"208029_s_at",78
"208031_s_at",76
"208038_at",80
"208059_at",65
"208062_s_at",74
"208064_s_at",76
"208084_at",65
"208093_s_at",72
"208098_at",85
"208114_s_at",67
"208148_at",77
"208166_at",83
"208181_at",66
"208190_s_at",85
"208191_x_at",76
"208201_at",85
"208214_at",85
"208225_at",82
"208227_x_at",85
"208234_x_at",83
"208311_at",84
"208335_s_at",79
"208361_s_at",84
"208385_at",81
"208475_at",74
