"","count.P"
"1557677_a_at",126
"1557713_at",105
"1557818_x_at",130
"1557873_at",111
"1557900_at",103
"1558117_s_at",128
"1558119_at",125
"1558273_a_at",123
"1558388_a_at",104
"1558437_at",121
"1558529_s_at",111
"1558661_at",99
"1558662_s_at",120
"1558893_a_at",130
"1559067_a_at",130
"1559133_at",106
"1559134_a_at",127
"1559274_at",128
"1559342_a_at",104
"1559444_at",116
"1559590_at",130
"1559683_at",129
"1559709_at",129
"1559732_at",129
"1559925_s_at",123
"1559930_at",121
"1560214_at",121
"1560342_at",125
"1560353_at",130
"1560486_at",129
"1560520_at",116
"1560582_a_at",130
"1560792_at",116
"1560874_at",102
"1560906_at",100
"1561082_at",130
"1561303_at",111
"1561482_at",109
"1561491_at",125
"1561618_at",130
"1561714_a_at",129
"1561789_at",122
"1562053_at",129
"1562055_at",130
"1562106_at",127
"1562474_at",106
"1562488_at",125
"1562643_at",130
"1562684_at",125
"1562697_at",130
"1562698_x_at",127
"1562805_at",130
"1562919_at",130
"1562969_at",119
"1563077_at",101
"1563185_at",120
"1563186_at",123
"1563327_a_at",130
"1563348_at",98
"1563531_at",125
"1563646_a_at",119
"1563654_at",129
"1563685_at",123
"1563745_a_at",114
"1563750_at",126
"1563816_at",130
"1563872_at",126
"1564208_x_at",130
"1564264_at",130
"1564294_at",116
"1564473_at",129
"1564533_at",104
"1564603_at",129
"1565000_a_at",130
"1565559_at",122
"1565563_at",111
"1565577_s_at",111
"1565674_at",104
"1565684_at",128
"1565735_at",126
"1565900_at",130
"1566099_at",130
"1566134_at",115
"1566149_at",120
"1566150_at",117
"1566157_x_at",130
"1566158_at",127
"1566162_x_at",128
"1566176_at",125
"1566177_at",130
"1566186_at",130
"1566190_at",130
"1566191_at",123
"1566195_at",111
"1566201_at",125
"1566202_at",130
"1566203_at",128
"1566204_at",119
"1566209_at",130
"1566210_at",98
"1566222_at",129
"1566231_at",130
"1566232_at",130
"1566243_at",121
"1566249_at",130
"1566257_at",128
"1566265_at",130
"1566266_at",128
"1566268_at",129
"1566269_at",130
"1566276_at",111
"1566284_at",130
"1566285_at",130
"1566289_at",130
"1566294_at",125
"1566302_at",130
"1566303_s_at",100
"1566323_at",124
"1566337_x_at",115
"1566339_at",130
"1566340_at",104
"1566362_at",130
"1566402_at",130
"1566427_at",128
"1566428_at",130
"1566432_at",127
"1566433_at",112
"1566452_at",130
"1566455_at",119
"1566459_at",104
"1566461_at",130
"1566463_at",114
"1566468_at",123
"1566471_at",125
"1566476_at",123
"1566477_at",130
"1566478_at",130
"1566480_x_at",130
"1566484_at",124
"1566490_at",130
"1566499_at",124
"1566502_at",130
"1566505_at",130
"1566518_at",130
"1566526_at",130
"1566528_at",130
"1566543_at",130
"1566549_at",123
"1566550_at",128
"1566551_at",130
"1566555_at",130
"1566557_at",104
"1566576_at",118
"1566577_at",109
"1566580_at",127
"1566585_at",130
"1566586_at",130
"1566606_a_at",104
"1566622_at",129
"1566630_at",108
"1566631_at",127
"1566637_at",130
"1566646_at",105
"1566666_at",130
"1566670_at",130
"1566688_at",130
"1566689_at",130
"1566691_at",129
"1566697_at",99
"1566702_at",130
"1566722_a_at",128
"1566725_at",115
"1566727_at",123
"1566728_at",130
"1566734_at",102
"1566740_at",107
"1566760_at",117
"1566761_a_at",130
"1566767_at",130
"1566772_at",125
"1566823_a_at",115
"1566834_at",99
"1566837_at",130
"1566839_at",130
"1566843_at",130
"1566844_at",106
"1566863_at",113
"1566865_at",127
"1566867_at",125
"1566868_at",129
"1566869_at",116
"1566879_at",130
"1566898_at",114
"1566899_at",119
"1566906_at",130
"1566908_at",110
"1566930_at",130
"1566958_at",127
"1566963_at",130
"1566966_at",130
"1566974_at",128
"1566984_at",126
"1567008_at",129
"1567011_at",125
"1567023_at",129
"1567032_s_at",130
"1567058_at",123
"1567065_at",130
"1567079_at",117
"1567105_at",129
"1567174_at",114
"1567182_at",130
"1567183_s_at",98
"1567242_at",100
"1567251_at",130
"1567252_at",130
"1567254_at",130
"1567271_at",119
"1567272_at",127
"1567273_at",126
"1567280_at",130
"1567303_at",130
"1567334_at",128
"1567341_at",104
"1567440_at",113
"1567519_at",119
"1567539_at",130
"1567576_at",103
"1567657_at",130
"1567686_at",130
"1567860_at",106
"1568191_at",129
"1568248_x_at",128
"1568249_at",128
"1568286_at",129
"1568574_x_at",122
"1568589_at",130
"1568604_a_at",126
"1568616_a_at",119
"1568623_a_at",113
"1568647_at",116
"1568663_a_at",106
"1568675_at",123
"1568695_s_at",130
"1568755_a_at",125
"1568768_s_at",109
"1568770_at",112
"1568777_at",127
"1568791_s_at",104
"1568812_at",119
"1568840_at",120
"1568845_at",115
"1568898_at",101
"1568904_at",130
"1568922_at",129
"1568930_at",114
"1568931_at",114
"1569065_s_at",127
"1569067_at",105
"1569077_x_at",120
"1569078_at",128
"1569089_a_at",126
"1569090_x_at",127
"1569100_a_at",113
"1569128_at",130
"1569146_s_at",123
"1569262_x_at",130
"1569322_at",125
"1569352_at",104
"1569354_at",128
"1569416_at",100
"1569466_at",113
"1569746_s_at",120
"1569770_x_at",129
"1569805_at",120
"1569996_at",121
"1570001_at",126
"1570127_at",130
"1570135_at",105
"1570160_at",121
"1570182_at",126
"1570186_at",112
"1570196_at",130
"1570244_at",130
"1570266_x_at",99
"1570281_at",130
"1570306_at",130
"1570383_at",130
"1570517_at",130
"200004_at",127
"200025_s_at",116
"200032_s_at",130
"200036_s_at",120
"200051_at",130
"200086_s_at",124
"200092_s_at",122
"200595_s_at",115
"200613_at",129
"200642_at",130
"200670_at",130
"200711_s_at",107
"200723_s_at",123
"200724_at",130
"200726_at",130
"200823_x_at",128
"200833_s_at",124
"200848_at",130
"200898_s_at",130
"200903_s_at",125
"200917_s_at",127
"200958_s_at",130
"200968_s_at",130
"200987_x_at",130
"201009_s_at",130
"201028_s_at",130
"201040_at",125
"201042_at",113
"201056_at",130
"201082_s_at",104
"201084_s_at",130
"201094_at",116
"201104_x_at",121
"201115_at",130
"201123_s_at",130
"201126_s_at",121
"201127_s_at",129
"201128_s_at",124
"201129_at",130
"201130_s_at",130
"201239_s_at",130
"201315_x_at",106
"201332_s_at",130
"201375_s_at",130
"201407_s_at",130
"201467_s_at",98
"201474_s_at",130
"201478_s_at",127
"201507_at",130
"201529_s_at",130
"201547_at",127
"201548_s_at",120
"201560_at",130
"201614_s_at",129
"201615_x_at",99
"201618_x_at",130
"201627_s_at",103
"201646_at",130
"201679_at",120
"201682_at",130
"201698_s_at",130
"201710_at",128
"201712_s_at",127
"201713_s_at",123
"201724_s_at",130
"201728_s_at",130
"201730_s_at",107
"201733_at",124
"201734_at",130
"201743_at",118
"201746_at",121
"201750_s_at",128
"201758_at",128
"201759_at",130
"201761_at",109
"201762_s_at",111
"201763_s_at",130
"201768_s_at",130
"201771_at",117
"201777_s_at",130
"201781_s_at",117
"201794_s_at",115
"201796_s_at",130
"201862_s_at",130
"201912_s_at",129
"201922_at",127
"201928_at",130
"201929_s_at",120
"201930_at",127
"201935_s_at",105
"201936_s_at",129
"201937_s_at",130
"201940_at",130
"201941_at",130
"201942_s_at",130
"201943_s_at",130
"201944_at",130
"201946_s_at",129
"201947_s_at",129
"201957_at",130
"201959_s_at",121
"201961_s_at",128
"201962_s_at",126
"201963_at",127
"201964_at",98
"201967_at",119
"201968_s_at",130
"201969_at",130
"201970_s_at",130
"201972_at",130
"201974_s_at",103
